"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"US","Baldwin County, AL","US1003",2020-01-01,2020-01-31,30,2020,"1",0,216,0,225.802048490745,-9.80204849074505,216,NA,-Inf,-0.0434099183610676,50.4,0,52.6871446478405,-2.28714464784051,50.4,NA,-Inf
"US","Baldwin County, AL","US1003",2020-02-01,2020-02-29,28,2020,"2",0,198,0,201.185615628401,-3.18561562840137,198,NA,-Inf,-0.0158342116977455,49.5,0,50.2964039071003,-0.796403907100341,49.5,NA,-Inf
"US","Baldwin County, AL","US1003",2020-03-01,2020-03-31,30,2020,"3",0,233,0,207.762458188897,25.2375418111029,233,NA,Inf,0.121473061259975,54.3666666666667,0,48.4779069107426,5.88875975592402,54.3666666666667,NA,Inf
"US","Baldwin County, AL","US1003",2020-04-01,2020-04-30,29,2020,"4",0,180,0,189.537042915934,-9.53704291593385,180,NA,-Inf,-0.0503175673167163,43.448275862069,0,45.7503207038461,-2.30204484177714,43.448275862069,NA,-Inf
"US","Baldwin County, AL","US1003",2020-05-01,2020-05-31,30,2020,"5",0,198,0,208.362458188897,-10.3624581888971,198,NA,-Inf,-0.0497328466892183,46.2,0,48.6179069107426,-2.41790691074265,46.2,NA,-Inf
"US","Baldwin County, AL","US1003",2020-06-01,2020-06-30,29,2020,"6",0,202,0,185.137042915934,16.8629570840662,202,NA,Inf,0.0910836471106606,48.7586206896552,0,44.6882517383289,4.07036895132631,48.7586206896552,NA,Inf
"US","Baldwin County, AL","US1003",2020-07-01,2020-07-31,30,2020,"7",0,226,0,190.362458188897,35.6375418111029,226,NA,Inf,0.187208875899993,52.7333333333333,0,44.4179069107427,8.31542642259068,52.7333333333333,NA,Inf
"US","Baldwin County, AL","US1003",2020-08-01,2020-08-31,30,2020,"8",0,279,0,190.962458188897,88.037541811103,279,NA,Inf,0.461020153626309,65.1,0,44.5579069107426,20.5420930892574,65.1,NA,Inf
"US","Baldwin County, AL","US1003",2020-09-01,2020-09-30,29,2020,"9",0,218,0,193.337042915934,24.6629570840662,218,NA,Inf,0.127564571755605,52.6206896551724,0,46.6675620831564,5.95312757201597,52.6206896551724,NA,Inf
"US","Baldwin County, AL","US1003",2020-10-01,2020-10-31,30,2020,"10",0,245,0,200.962458188897,44.037541811103,245,NA,Inf,0.219133176454825,57.1666666666667,0,46.891240244076,10.2754264225907,57.1666666666667,NA,Inf
"US","Baldwin County, AL","US1003",2020-11-01,2020-11-30,29,2020,"11",0,217,0,198.337042915934,18.6629570840661,217,NA,Inf,0.0940971833081958,52.3793103448276,0,47.8744586348806,4.504851709947,52.3793103448276,NA,Inf
"US","Baldwin County, AL","US1003",2020-12-01,2020-12-31,30,2020,"12",0,279,0,211.562458188897,67.4375418111029,279,NA,Inf,0.318759492531941,65.1,0,49.3645735774093,15.7354264225907,65.1,NA,Inf
"US","Baldwin County, AL","US1003",2021-01-01,2021-01-31,30,2021,"1",0,307,0,232.056201220376,74.943798779624,307,NA,Inf,0.322955380573745,71.6333333333333,0,54.1464469514211,17.4868863819123,71.6333333333333,NA,Inf
"US","Baldwin County, AL","US1003",2021-02-01,2021-02-28,27,2021,"2",0,245,0,199.629152526912,45.370847473088,245,NA,Inf,0.227275660387185,63.5185185185185,0,51.7557062106809,11.7628123078376,63.5185185185185,NA,Inf
"US","Baldwin County, AL","US1003",2021-03-01,2021-03-31,30,2021,"3",0,231,0,214.016610918528,16.983389081472,231,NA,Inf,0.0793554715616782,53.9,0,49.9372092143232,3.9627907856768,53.9,NA,Inf
"US","Baldwin County, AL","US1003",2021-04-01,2021-04-30,29,2021,"4",0,225,0,195.58272388791,29.4172761120896,225,NA,Inf,0.150408356767486,54.3103448275862,0,47.2096230074267,7.10072182015955,54.3103448275862,NA,Inf
"US","Baldwin County, AL","US1003",2021-05-01,2021-05-31,30,2021,"5",0,233,0,214.616610918528,18.383389081472,233,NA,Inf,0.0856568790402277,54.3666666666667,0,50.0772092143232,4.28945745234346,54.3666666666667,NA,Inf
"US","Baldwin County, AL","US1003",2021-06-01,2021-06-30,29,2021,"6",0,214,0,191.18272388791,22.8172761120896,214,NA,Inf,0.119348001995553,51.6551724137931,0,46.1475540419094,5.50761837188369,51.6551724137931,NA,Inf
"US","Baldwin County, AL","US1003",2021-07-01,2021-07-31,30,2021,"7",0,256,0,196.616610918528,59.383389081472,256,NA,Inf,0.30202630797089,59.7333333333333,0,45.8772092143232,13.8561241190101,59.7333333333333,NA,Inf
"US","Baldwin County, AL","US1003",2021-08-01,2021-08-31,30,2021,"8",0,417,0,197.216610918528,219.783389081472,417,NA,Inf,1.11442635616665,97.3,0,46.0172092143232,51.2827907856768,97.3,NA,Inf
"US","Baldwin County, AL","US1003",2021-09-01,2021-09-30,29,2021,"9",0,278,0,199.38272388791,78.6172761120896,278,NA,Inf,0.394303350757144,67.1034482758621,0,48.126864386737,18.9765838891251,67.1034482758621,NA,Inf
"US","Baldwin County, AL","US1003",2021-10-01,2021-10-31,30,2021,"10",0,242,0,207.216610918528,34.783389081472,242,NA,Inf,0.167860042335833,56.4666666666667,0,48.3505425476565,8.11612411901013,56.4666666666667,NA,Inf
"US","Baldwin County, AL","US1003",2021-11-01,2021-11-30,29,2021,"11",0,226,0,204.38272388791,21.6172761120895,226,NA,Inf,0.105768607546033,54.551724137931,0,49.3337609384611,5.21796319946989,54.551724137931,NA,Inf
