"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"US","Coffee County, AL","US1031",2020-01-01,2020-01-31,30,2020,"1",0,48,0,48.374325954306,-0.374325954305988,48,NA,-Inf,-0.00773811204438435,11.2,0,11.2873427226714,-0.0873427226713972,11.2,NA,-Inf
"US","Coffee County, AL","US1031",2020-02-01,2020-02-29,28,2020,"2",0,43,0,48.8345560758714,-5.83455607587138,43,NA,-Inf,-0.119475972440633,10.75,0,12.2086390189678,-1.45863901896784,10.75,NA,-Inf
"US","Coffee County, AL","US1031",2020-03-01,2020-03-31,30,2020,"3",0,49,0,47.2491911451681,1.75080885483192,49,NA,Inf,0.0370547899847162,11.4333333333333,0,11.0248112672059,0.408522066127447,11.4333333333333,NA,Inf
"US","Coffee County, AL","US1031",2020-04-01,2020-04-30,29,2020,"4",0,48,0,50.6808847736625,-2.68088477366249,48,NA,-Inf,-0.0528973553961252,11.5862068965517,0,12.2333170143323,-0.647110117780601,11.5862068965517,NA,-Inf
"US","Coffee County, AL","US1031",2020-05-01,2020-05-31,30,2020,"5",0,70,0,52.4491911451681,17.5508088548319,70,NA,Inf,0.334624966975278,16.3333333333333,0,12.2381446005392,4.09518873279411,16.3333333333333,NA,Inf
"US","Coffee County, AL","US1031",2020-06-01,2020-06-30,29,2020,"6",0,59,0,43.6808847736625,15.3191152263375,59,NA,Inf,0.350705241107529,14.2413793103448,0,10.5436618419185,3.6977174684263,14.2413793103448,NA,Inf
"US","Coffee County, AL","US1031",2020-07-01,2020-07-31,30,2020,"7",0,61,0,44.4491911451681,16.5508088548319,61,NA,Inf,0.372353431601895,14.2333333333333,0,10.3714779338726,3.86185539946078,14.2333333333333,NA,Inf
"US","Coffee County, AL","US1031",2020-08-01,2020-08-31,30,2020,"8",0,76,0,51.4491911451681,24.5508088548319,76,NA,Inf,0.477185516591695,17.7333333333333,0,12.0048112672059,5.72852206612744,17.7333333333333,NA,Inf
"US","Coffee County, AL","US1031",2020-09-01,2020-09-30,29,2020,"9",0,47,0,50.0808847736625,-3.08088477366249,47,NA,-Inf,-0.0615181777955074,11.3448275862069,0,12.0884894281254,-0.743661841918532,11.3448275862069,NA,-Inf
"US","Coffee County, AL","US1031",2020-10-01,2020-10-31,30,2020,"10",0,62,0,51.8491911451681,10.1508088548319,62,NA,Inf,0.195775645301997,14.4666666666667,0,12.0981446005392,2.36852206612744,14.4666666666667,NA,Inf
"US","Coffee County, AL","US1031",2020-11-01,2020-11-30,29,2020,"11",0,61,0,53.4808847736625,7.51911522633752,61,NA,Inf,0.140594443382141,14.7241379310345,0,12.9091790832978,1.81495884773664,14.7241379310345,NA,Inf
"US","Coffee County, AL","US1031",2020-12-01,2020-12-31,30,2020,"12",0,83,0,56.2491911451681,26.7508088548319,83,NA,Inf,0.475576773820504,19.3666666666667,0,13.1248112672059,6.24185539946078,19.3666666666667,NA,Inf
"US","Coffee County, AL","US1031",2021-01-01,2021-01-31,30,2021,"1",0,80,0,50.0573896693621,29.9426103306379,80,NA,Inf,0.598165636051224,18.6666666666667,0,11.6800575895178,6.98660907714885,18.6666666666667,NA,Inf
"US","Coffee County, AL","US1031",2021-02-01,2021-02-28,27,2021,"2",0,59,0,48.6052221309979,10.3947778690021,59,NA,Inf,0.213861338622973,15.2962962962963,0,12.6013538858143,2.69494241048203,15.2962962962963,NA,Inf
"US","Coffee County, AL","US1031",2021-03-01,2021-03-31,30,2021,"3",0,52,0,48.9322548602242,3.06774513977584,52,NA,Inf,0.0626937211158347,12.1333333333333,0,11.4175261340523,0.715807199281029,12.1333333333333,NA,Inf
"US","Coffee County, AL","US1031",2021-04-01,2021-04-30,29,2021,"4",0,59,0,52.3078463648834,6.69215363511663,59,NA,Inf,0.127937854455606,14.2413793103448,0,12.6260318811787,1.61534742916608,14.2413793103448,NA,Inf
"US","Coffee County, AL","US1031",2021-05-01,2021-05-31,30,2021,"5",0,46,0,54.1322548602242,-8.13225486022417,46,NA,-Inf,-0.150229375835583,10.7333333333333,0,12.6308594673856,-1.89752613405231,10.7333333333333,NA,-Inf
"US","Coffee County, AL","US1031",2021-06-01,2021-06-30,29,2021,"6",0,51,0,45.3078463648834,5.69215363511663,51,NA,Inf,0.125632844900093,12.3103448275862,0,10.936376708765,1.37396811882126,12.3103448275862,NA,Inf
"US","Coffee County, AL","US1031",2021-07-01,2021-07-31,30,2021,"7",0,51,0,46.1322548602242,4.86774513977583,51,NA,Inf,0.105517173494436,11.9,0,10.764192800719,1.13580719928103,11.9,NA,Inf
"US","Coffee County, AL","US1031",2021-08-01,2021-08-31,30,2021,"8",0,83,0,53.1322548602242,29.8677451397758,83,NA,Inf,0.562139612149896,19.3666666666667,0,12.3975261340523,6.96914053261436,19.3666666666667,NA,Inf
"US","Coffee County, AL","US1031",2021-09-01,2021-09-30,29,2021,"9",0,72,0,51.7078463648834,20.2921536351166,72,NA,Inf,0.392438576766905,17.3793103448276,0,12.4812042949718,4.89810604985574,17.3793103448276,NA,Inf
"US","Coffee County, AL","US1031",2021-10-01,2021-10-31,30,2021,"10",0,55,0,53.5322548602242,1.46774513977581,55,NA,Inf,0.0274179584552936,12.8333333333333,0,12.4908594673856,0.34247386594769,12.8333333333333,NA,Inf
"US","Coffee County, AL","US1031",2021-11-01,2021-11-30,29,2021,"11",0,58,0,55.1078463648834,2.89215363511664,58,NA,Inf,0.0524817031674027,14,0,13.3018939501443,0.698106049855741,14,NA,Inf
"US","Coffee County, AL","US1031",2021-12-01,2021-12-31,30,2021,"12",0,50,0,57.9322548602242,-7.93225486022417,50,NA,-Inf,-0.136922943520198,11.6666666666667,0,13.5175261340523,-1.85085946738564,11.6666666666667,NA,-Inf
"US","Coffee County, AL","US1031",2022-01-01,2022-01-31,30,2022,"1",0,70,0,51.7404533844186,18.2595466155814,70,NA,Inf,0.352906583170379,16.3333333333333,0,12.0727724563643,4.260560876969,16.3333333333333,NA,Inf
"US","Coffee County, AL","US1031",2022-02-01,2022-02-28,27,2022,"2",0,63,0,50.1199794745487,12.8800205254513,63,NA,Inf,0.256983754991198,16.3333333333333,0,12.9940687526608,3.33926458067255,16.3333333333333,NA,Inf
"US","Coffee County, AL","US1031",2022-03-01,2022-03-31,30,2022,"3",0,44,0,50.6153185752807,-6.61531857528067,44,NA,-Inf,-0.130697953929533,10.2666666666667,0,11.8102410008988,-1.54357433423216,10.2666666666667,NA,-Inf
