"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"US","Jackson County, AL","US1071",2020-01-01,2020-01-31,30,2020,"1",0,79,0,74.9631276733775,4.03687232662253,79,NA,Inf,0.0538514393931324,18.4333333333333,0,17.4913964571214,0.941936876211923,18.4333333333333,NA,Inf
"US","Jackson County, AL","US1071",2020-02-01,2020-02-29,28,2020,"2",0,71,0,66.6729932358931,4.3270067641069,71,NA,Inf,0.0648989426468027,17.75,0,16.6682483089733,1.08175169102672,17.75,NA,Inf
"US","Jackson County, AL","US1071",2020-03-01,2020-03-31,30,2020,"3",0,72,0,61.3557532080531,10.6442467919469,72,NA,Inf,0.173484086420601,16.8,0,14.3163424152124,2.48365758478762,16.8,NA,Inf
"US","Jackson County, AL","US1071",2020-04-01,2020-04-30,29,2020,"4",0,63,0,60.937228101118,2.06277189888203,63,NA,Inf,0.0338507668162902,15.2068965517241,0,14.7089860933733,0.497910458350836,15.2068965517241,NA,Inf
"US","Jackson County, AL","US1071",2020-05-01,2020-05-31,30,2020,"5",0,73,0,58.555753208053,14.444246791947,73,NA,Inf,0.246675108774119,17.0333333333333,0,13.663009081879,3.37032425145429,17.0333333333333,NA,Inf
"US","Jackson County, AL","US1071",2020-06-01,2020-06-30,29,2020,"6",0,63,0,49.5372281011179,13.4627718988821,63,NA,Inf,0.271770795721576,15.2068965517241,0,11.9572619554423,3.24963459628187,15.2068965517241,NA,Inf
"US","Jackson County, AL","US1071",2020-07-01,2020-07-31,30,2020,"7",0,81,0,58.9557532080531,22.0442467919469,81,NA,Inf,0.373911715013689,18.9,0,13.7563424152124,5.14365758478762,18.9,NA,Inf
"US","Jackson County, AL","US1071",2020-08-01,2020-08-31,30,2020,"8",0,76,0,53.555753208053,22.444246791947,76,NA,Inf,0.419081899656153,17.7333333333333,0,12.4963424152124,5.23699091812096,17.7333333333333,NA,Inf
"US","Jackson County, AL","US1071",2020-09-01,2020-09-30,29,2020,"9",0,77,0,56.937228101118,20.062771898882,77,NA,Inf,0.352366501987969,18.5862068965517,0,13.743468851994,4.84273804455774,18.5862068965517,NA,Inf
"US","Jackson County, AL","US1071",2020-10-01,2020-10-31,30,2020,"10",0,66,0,60.755753208053,5.24424679194698,66,NA,Inf,0.0863168756049899,15.4,0,14.1763424152124,1.22365758478763,15.4,NA,Inf
"US","Jackson County, AL","US1071",2020-11-01,2020-11-30,29,2020,"11",0,76,0,61.537228101118,14.462771898882,76,NA,Inf,0.235024754041843,18.3448275862069,0,14.8538136795802,3.4910139066267,18.3448275862069,NA,Inf
"US","Jackson County, AL","US1071",2020-12-01,2020-12-31,30,2020,"12",0,100,0,67.3557532080531,32.6442467919469,100,NA,Inf,0.484654171873235,23.3333333333333,0,15.7163424152124,7.61699091812095,23.3333333333333,NA,Inf
"US","Jackson County, AL","US1071",2021-01-01,2021-01-31,30,2021,"1",0,107,0,75.1483787427285,31.8516212572715,107,NA,Inf,0.423849746197665,24.9666666666667,0,17.5346217066366,7.43204496003002,24.9666666666667,NA,Inf
"US","Jackson County, AL","US1071",2021-02-01,2021-02-28,27,2021,"2",0,95,0,64.4585408684557,30.5414591315443,95,NA,Inf,0.473815552137179,24.6296296296296,0,16.7114735584885,7.91815607114111,24.6296296296296,NA,Inf
"US","Jackson County, AL","US1071",2021-03-01,2021-03-31,30,2021,"3",0,67,0,61.5410042774041,5.45899572259592,67,NA,Inf,0.0887050152446129,15.6333333333333,0,14.3595676647276,1.27376566860571,15.6333333333333,NA,Inf
"US","Jackson County, AL","US1071",2021-04-01,2021-04-30,29,2021,"4",0,63,0,61.116304134824,1.88369586517604,63,NA,Inf,0.0308214950468957,15.2068965517241,0,14.7522113428885,0.454685208835597,15.2068965517241,NA,Inf
"US","Jackson County, AL","US1071",2021-05-01,2021-05-31,30,2021,"5",0,70,0,58.7410042774041,11.2589957225959,70,NA,Inf,0.191671828922525,16.3333333333333,0,13.7062343313943,2.62709900193905,16.3333333333333,NA,Inf
"US","Jackson County, AL","US1071",2021-06-01,2021-06-30,29,2021,"6",0,71,0,49.7163041348239,21.2836958651761,71,NA,Inf,0.428102937970963,17.1379310344828,0,12.0004872049575,5.13744382952525,17.1379310344828,NA,Inf
"US","Jackson County, AL","US1071",2021-07-01,2021-07-31,30,2021,"7",0,64,0,59.1410042774041,4.85899572259592,64,NA,Inf,0.0821595064535012,14.9333333333333,0,13.7995676647276,1.13376566860571,14.9333333333333,NA,Inf
"US","Jackson County, AL","US1071",2021-08-01,2021-08-31,30,2021,"8",0,92,0,53.7410042774041,38.2589957225959,92,NA,Inf,0.711914416878181,21.4666666666667,0,12.5395676647276,8.92709900193905,21.4666666666667,NA,Inf
"US","Jackson County, AL","US1071",2021-09-01,2021-09-30,29,2021,"9",0,109,0,57.1163041348239,51.8836958651761,109,NA,Inf,0.908386784668415,26.3103448275862,0,13.7866941015092,12.523650726077,26.3103448275862,NA,Inf
"US","Jackson County, AL","US1071",2021-10-01,2021-10-31,30,2021,"10",0,93,0,60.9410042774041,32.0589957225959,93,NA,Inf,0.526066088058921,21.7,0,14.2195676647276,7.48043233527239,21.7,NA,Inf
"US","Jackson County, AL","US1071",2021-11-01,2021-11-30,29,2021,"11",0,74,0,61.716304134824,12.283695865176,74,NA,Inf,0.199034858573861,17.8620689655172,0,14.8970389290954,2.96503003642181,17.8620689655172,NA,Inf
"US","Jackson County, AL","US1071",2021-12-01,2021-12-31,30,2021,"12",0,81,0,67.5410042774041,13.4589957225959,81,NA,Inf,0.199271477624425,18.9,0,15.7595676647276,3.14043233527238,18.9,NA,Inf
"US","Jackson County, AL","US1071",2022-01-01,2022-01-31,30,2022,"1",0,102,0,75.3336298120795,26.6663701879205,102,NA,Inf,0.353976972229269,23.8,0,17.5778469561519,6.22215304384811,23.8,NA,Inf
"US","Jackson County, AL","US1071",2022-02-01,2022-02-28,27,2022,"2",0,77,0,64.6252668308716,12.3747331691284,77,NA,Inf,0.19148444216894,19.962962962963,0,16.7546988080038,3.20826415495921,19.962962962963,NA,Inf
"US","Jackson County, AL","US1071",2022-03-01,2022-03-31,30,2022,"3",0,74,0,61.7262553467551,12.2737446532449,74,NA,Inf,0.19884155590349,17.2666666666667,0,14.4027929142429,2.86387375242381,17.2666666666667,NA,Inf
"US","Jackson County, AL","US1071",2022-04-01,2022-04-30,29,2022,"4",0,64,0,61.29538016853,2.70461983147005,64,NA,Inf,0.0441243666983346,15.448275862069,0,14.7954365924038,0.652839269665184,15.448275862069,NA,Inf
"US","Jackson County, AL","US1071",2022-05-01,2022-05-31,30,2022,"5",0,70,0,58.9262553467551,11.0737446532449,70,NA,Inf,0.187925477159218,16.3333333333333,0,13.7494595809095,2.58387375242381,16.3333333333333,NA,Inf
"US","Jackson County, AL","US1071",2022-06-01,2022-06-30,29,2022,"6",0,74,0,49.8953801685299,24.1046198314701,74,NA,Inf,0.483103240220892,17.8620689655172,0,12.0437124544727,5.8183565110445,17.8620689655172,NA,Inf
"US","Jackson County, AL","US1071",2022-07-01,2022-07-31,30,2022,"7",0,77,0,59.3262553467551,17.6737446532449,77,NA,Inf,0.29790763886822,17.9666666666667,0,13.8427929142429,4.12387375242381,17.9666666666667,NA,Inf
"US","Jackson County, AL","US1071",2022-08-01,2022-08-31,30,2022,"8",0,82,0,53.9262553467551,28.0737446532449,82,NA,Inf,0.520595106645657,19.1333333333333,0,12.5827929142429,6.55054041909048,19.1333333333333,NA,Inf
"US","Jackson County, AL","US1071",2022-09-01,2022-09-30,29,2022,"9",0,64,0,57.2953801685299,6.70461983147005,64,NA,Inf,0.117018506758293,15.448275862069,0,13.8299193510245,1.6183565110445,15.448275862069,NA,Inf
"US","Jackson County, AL","US1071",2022-10-01,2022-10-31,30,2022,"10",0,67,0,61.1262553467551,5.87374465324492,67,NA,Inf,0.0960920085800205,15.6333333333333,0,14.2627929142429,1.37054041909048,15.6333333333333,NA,Inf
"US","Jackson County, AL","US1071",2022-11-01,2022-11-30,29,2022,"11",0,58,0,61.8953801685299,-3.89538016852995,58,NA,-Inf,-0.0629349098094806,14,0,14.9402641786107,-0.940264178610677,14,NA,-Inf
"US","Jackson County, AL","US1071",2022-12-01,2022-12-31,30,2022,"12",0,68,0,67.7262553467551,0.27374465324489,68,NA,Inf,0.00404192808008252,15.8666666666667,0,15.8027929142429,0.0638737524238077,15.8666666666667,NA,Inf
"US","Jackson County, AL","US1071",2023-01-01,2023-01-31,30,2023,"1",0,72,0,75.5188808814306,-3.51888088143056,72,NA,-Inf,-0.0465960411536742,16.8,0,17.6210722056671,-0.821072205667131,16.8,NA,-Inf
"US","Jackson County, AL","US1071",2023-02-01,2023-02-28,27,2023,"2",0,63,0,64.7919927932876,-1.79199279328756,63,NA,-Inf,-0.0276576273707885,16.3333333333333,0,16.797924057519,-0.464590724185664,16.3333333333333,NA,-Inf
"US","Jackson County, AL","US1071",2023-03-01,2023-03-31,30,2023,"3",0,81,0,61.9115064161061,19.0884935838939,81,NA,Inf,0.308318997370221,18.9,0,14.4460181637581,4.4539818362419,18.9,NA,Inf
